,y,soldout,kcal,weather,precipitation,temperature,月,木,水,火,金,お楽しみメニュー,スペシャルメニュー（800円）,手作りの味,料理長のこだわりメニュー,近隣に飲食店複合ビルオープン,酢豚（28食）、カレー（85食）,鶏のレモンペッパー焼（50食）、カレー（42食）,キャリアアップ支援セミナー,ママの会,給料日経過日数,カツ,カレー,ハンバーグ,中華,フライ,チキン,その他,holiday_flg,days_from_last_holiday,days_of_consecutive_holidays
2013-12-12,109.0,0,397.33333333333326,1,0.0,12.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,4.0,0.0
2013-12-13,111.0,1,394.8,1,0.0,13.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,5.0,0.0
2013-12-16,160.0,0,422.0,1,0.0,11.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,1.0,0.0
2013-12-17,145.0,0,411.1071428571428,4,0.0,10.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,2.0,0.0
2013-12-18,145.0,1,427.0,4,0.0,7.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,3.0,0.0
2013-12-19,151.0,0,406.0813953488372,5,0.5,6.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,4.0,0.0
2013-12-20,134.0,1,405.0408163265306,4,0.0,8.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,5.0,0.0
2013-12-24,122.0,0,411.1071428571428,1,0.0,11.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,1.0,0.0
2013-12-25,121.0,1,408.83333333333326,1,0.0,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,2.0,0.0
2013-12-26,80.0,0,395.0,4,0.0,7.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,3.0,0.0
2014-01-07,131.0,0,404.0,1,0.0,7.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,1,1,0,0,0,0,0,0,2.0,0.0
2014-01-08,128.0,0,462.0,4,0.0,9.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1,0,3.0,0.0
2014-01-09,129.0,1,435.0,4,0.0,10.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,0,0,0,0,4.0,0.0
2014-01-10,87.0,0,440.0,1,0.0,5.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.0,0.0
2014-01-14,129.0,1,376.0,2,0.0,5.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1.0,0.0
2014-01-15,134.0,0,450.0,4,0.0,2.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,2.0,0.0
2014-01-16,107.0,0,415.0,1,0.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,3.0,0.0
2014-01-17,85.0,1,430.0,1,0.0,7.8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,4.0,0.0
2014-01-20,126.0,1,375.0,2,0.0,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,1.0,0.0
2014-01-21,129.0,1,447.0,1,0.0,10.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,2.0,0.0
2014-01-22,126.0,1,426.0,1,0.0,7.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,3.0,0.0
2014-01-23,107.0,0,400.0,1,0.0,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,4.0,0.0
2014-01-24,92.0,1,418.0,1,0.0,10.1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15,0,1,0,0,0,0,0,0,5.0,0.0
2014-01-27,126.0,1,415.0,1,0.0,5.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,1.0,0.0
2014-01-28,120.0,0,445.0,1,0.0,12.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,2.0,0.0
2014-01-29,121.0,1,450.0,1,0.0,10.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,3.0,0.0
2014-01-30,105.0,1,448.0,4,0.0,15.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,4.0,0.0
2014-01-31,92.0,1,460.0,1,0.0,14.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,0,5.0,0.0
2014-02-03,139.0,1,445.0,2,0.0,15.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,0,0,0,0,0,1.0,0.0
2014-02-04,121.0,1,430.0,5,0.0,3.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1,0,2.0,0.0
2014-02-05,126.0,1,420.0,1,0.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1,0,3.0,0.0
2014-02-06,111.0,1,435.0,4,0.0,4.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,4.0,0.0
2014-02-07,91.0,1,425.0,2,0.0,5.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,0,5.0,0.0
2014-02-10,137.0,0,423.0,4,0.0,7.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0.0
2014-02-12,111.0,0,415.0,4,0.0,6.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1.0,0.0
2014-02-13,84.0,0,438.0,4,0.0,6.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2.0,0.0
2014-02-14,86.0,1,432.0,6,0.5,1.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,3.0,0.0
2014-02-17,137.0,1,416.0,2,0.0,11.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,1.0,0.0
2014-02-18,99.0,0,426.0,2,0.0,6.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1,0,0,0,2.0,0.0
2014-02-19,113.0,0,405.0,3,0.0,7.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,3.0,0.0
2014-02-20,85.0,1,426.0,3,0.0,5.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,4.0,0.0
2014-02-21,113.0,0,410.0,1,0.0,8.5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,12,0,1,0,0,0,0,0,0,5.0,0.0
2014-02-24,129.0,1,408.0,4,0.0,6.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,1.0,0.0
2014-02-25,104.0,0,396.0,1,0.0,10.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,2.0,0.0
2014-02-26,104.0,0,384.0,2,0.0,11.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,3.0,0.0
2014-02-27,90.0,1,436.0,5,0.0,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,4.0,0.0
2014-02-28,69.0,0,428.0,2,0.0,17.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,5.0,0.0
2014-03-03,131.0,0,407.0,4,0.0,7.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,1,0,0,0,0,0,1.0,0.0
2014-03-04,100.0,1,413.0,2,0.0,8.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,0,2.0,0.0
2014-03-05,110.0,1,393.0,5,1.5,6.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,3.0,0.0
2014-03-06,77.0,0,409.0,1,0.0,6.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,0,0,4.0,0.0
2014-03-07,73.0,1,396.0,1,0.0,7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,5.0,0.0
2014-03-10,123.0,0,385.0,4,0.0,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0.0
2014-03-11,89.0,0,397.0,1,0.0,8.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2.0,0.0
2014-03-12,68.0,0,370.0,1,0.0,14.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3.0,0.0
2014-03-13,80.0,1,372.0,5,0.5,15.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,4.0,0.0
2014-03-14,70.0,1,360.0,4,0.0,11.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,5.0,0.0
2014-03-17,129.0,0,382.0,1,0.0,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,1.0,0.0
2014-03-18,90.0,1,400.0,2,0.0,18.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,2.0,0.0
2014-03-19,72.0,1,392.0,4,0.0,12.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,3.0,0.0
2014-03-20,100.0,1,372.0,5,0.5,7.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,1,0,4.0,0.0
2014-03-24,102.0,0,350.0,1,0.0,17.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,1.0,0.0
2014-03-25,77.0,0,407.0,1,0.0,18.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,2.0,0.0
2014-03-26,51.0,0,392.0,4,0.0,18.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,3.0,0.0
2014-03-27,55.0,1,315.0,4,1.5,12.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,4.0,0.0
2014-03-28,106.0,0,400.0,1,0.0,18.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,5.0,0.0
2014-03-31,84.0,0,349.0,2,0.0,17.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,1.0,0.0
2014-04-01,125.0,1,377.0,3,0.0,16.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,2.0,0.0
2014-04-02,99.0,0,380.0,3,0.0,18.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,3.0,0.0
2014-04-03,100.0,1,390.0,5,1.0,14.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,4.0,0.0
2014-04-04,90.0,1,350.0,2,0.0,17.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,1,0,0,0,0,0,5.0,0.0
2014-04-07,107.0,0,387.0,1,0.0,13.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,0,0,1.0,0.0
2014-04-08,96.0,1,353.0,1,0.0,20.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1,0,2.0,0.0
2014-04-09,88.0,1,376.0,2,0.0,19.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,0,0,0,0,3.0,0.0
2014-04-10,87.0,0,362.0,2,0.0,21.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0,0.0
2014-04-11,128.0,1,410.0,1,0.0,16.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,5.0,0.0
2014-04-14,92.0,0,340.0,2,0.0,16.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1.0,0.0
2014-04-15,82.0,0,370.0,1,0.0,19.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,2.0,0.0
2014-04-16,57.0,0,330.0,3,0.0,21.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,3.0,0.0
2014-04-17,57.0,0,333.0,1,0.0,20.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,4.0,0.0
2014-04-18,56.0,1,325.0,4,0.0,11.4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,5.0,0.0
2014-04-21,109.0,0,375.0,4,0.0,16.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,1,0,1.0,0.0
2014-04-22,78.0,1,382.0,4,0.0,18.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,2.0,0.0
2014-04-23,63.0,0,340.0,1,0.0,19.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,3.0,0.0
2014-04-24,56.0,1,360.0,2,0.0,19.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,4.0,0.0
2014-04-25,80.0,0,405.0408163265306,2,0.0,20.8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,5.0,0.0
2014-04-28,54.0,0,342.0,2,0.0,22.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,1.0,0.0
2014-04-30,97.0,1,368.0,5,0.5,17.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,1.0,0.0
2014-05-01,64.0,0,415.0,2,0.0,24.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,2.0,0.0
2014-05-02,47.0,0,420.0,2,0.0,23.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0,3.0,0.0
2014-05-07,88.0,1,415.0,2,0.0,18.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,0,1.0,0.0
2014-05-08,59.0,0,405.0,3,0.0,21.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,2.0,0.0
2014-05-09,58.0,1,434.0,2,0.0,23.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3.0,0.0
2014-05-12,73.0,0,400.0,3,0.0,22.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1.0,0.0
2014-05-13,70.0,1,428.0,5,0.0,18.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,2.0,0.0
2014-05-14,64.0,1,430.0,3,0.0,26.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,3.0,0.0
2014-05-15,58.0,1,403.0,4,0.0,19.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,4.0,0.0
2014-05-16,126.0,0,410.0,1,0.0,23.8,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8,0,1,0,0,0,0,0,0,5.0,0.0
2014-05-19,70.0,1,406.0,4,0.0,22.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,1,0,0,0,0,1.0,0.0
2014-05-20,71.0,0,425.0,3,0.0,23.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,2.0,0.0
2014-05-21,104.0,1,430.0,5,6.0,17.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,3.0,0.0
2014-05-22,54.0,1,428.0,7,0.0,19.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,1,0,4.0,0.0
2014-05-23,65.0,0,400.0,3,0.0,19.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,5.0,0.0
2014-05-26,77.0,1,430.0,3,0.0,23.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,1.0,0.0
2014-05-27,79.0,0,423.0,4,0.0,23.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,2.0,0.0
2014-05-28,74.0,1,414.0,2,0.0,25.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,3.0,0.0
2014-05-29,64.0,1,438.0,1,0.0,26.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,4.0,0.0
2014-05-30,119.0,0,410.0,3,0.0,26.9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,22,0,1,0,0,0,1,0,0,5.0,0.0
2014-06-02,74.0,0,420.0,3,0.0,30.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,0,1.0,0.0
2014-06-03,59.0,0,418.0,3,0.0,27.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1,0,2.0,0.0
2014-06-04,47.0,0,424.0,2,0.0,27.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,0,0,0,3.0,0.0
2014-06-05,64.0,1,405.0,5,0.0,21.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,0,4.0,0.0
2014-06-06,93.0,0,430.0,5,6.5,19.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,5.0,0.0
2014-06-09,74.0,1,417.0,5,0.0,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,0,0,1.0,0.0
2014-06-10,56.0,0,426.0,4,0.0,25.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0,0.0
2014-06-11,50.0,1,413.0,5,2.5,22.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3.0,0.0
2014-06-12,72.0,1,440.0,5,0.5,21.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,4.0,0.0
2014-06-13,121.0,0,400.0,2,0.0,29.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,5.0,0.0
2014-06-16,76.0,1,440.0,3,0.0,28.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,1.0,0.0
2014-06-17,63.0,0,427.0,3,0.0,27.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,2.0,0.0
2014-06-18,66.0,1,426.0,5,0.0,21.9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,1,0,3.0,0.0
2014-06-19,56.0,0,430.0,2,0.0,27.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,4.0,0.0
2014-06-20,57.0,0,407.0,3,0.0,26.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,5.0,0.0
2014-06-23,72.0,0,421.0,4,0.0,26.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,1.0,0.0
2014-06-24,61.0,0,430.0,4,0.0,23.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,2.0,0.0
2014-06-25,64.0,1,420.0,5,0.0,25.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,3.0,0.0
2014-06-26,49.0,0,414.0,4,0.0,25.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,4.0,0.0
2014-06-27,74.0,0,406.0813953488372,5,0.0,25.4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,5.0,0.0
2014-06-30,65.0,0,435.0,3,0.0,25.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,1.0,0.0
2014-07-01,54.0,0,362.0,4,0.0,28.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,2.0,0.0
2014-07-02,50.0,1,363.0,1,0.0,28.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0,3.0,0.0
2014-07-03,53.0,0,412.0,3,0.0,27.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,4.0,0.0
2014-07-04,63.0,0,432.0,5,0.5,22.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,5.0,0.0
2014-07-07,82.0,1,354.0,5,0.5,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,1.0,0.0
2014-07-08,56.0,0,370.0,2,0.0,29.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,0,2.0,0.0
2014-07-09,54.0,1,388.0,5,0.0,24.6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,1,0,0,3.0,0.0
2014-07-10,48.0,0,386.0,4,0.0,28.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4.0,0.0
2014-07-11,124.0,0,410.0,2,0.0,33.9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,5.0,0.0
2014-07-14,65.0,1,418.0,3,0.0,30.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1.0,0.0
2014-07-15,51.0,0,324.0,2,0.0,30.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,2.0,0.0
2014-07-16,53.0,1,434.0,2,0.0,30.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,3.0,0.0
2014-07-17,53.0,1,418.0,2,0.0,30.1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,4.0,0.0
2014-07-18,55.0,1,401.0,4,0.0,25.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,5.0,0.0
2014-07-22,53.0,0,409.0,2,0.0,30.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,1.0,0.0
2014-07-23,56.0,1,355.0,3,0.0,32.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,2.0,0.0
2014-07-24,62.0,1,410.0,4,0.0,32.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,1,0,0,3.0,0.0
2014-07-25,83.0,0,406.0813953488372,2,0.0,33.6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,4.0,0.0
