datetime,y,soldout,name,kcal,weather,precipitation,temperature,data_flg,月,木,水,火,金,お楽しみメニュー,スペシャルメニュー（800円）,手作りの味,料理長のこだわりメニュー,近隣に飲食店複合ビルオープン,酢豚（28食）、カレー（85食）,鶏のレモンペッパー焼（50食）、カレー（42食）,キャリアアップ支援セミナー,ママの会,給料日経過日数,カツ,カレー,ハンバーグ,中華,フライ,チキン,その他
2014-01-08,128.0,0,豚肉の生姜焼,462.0,4,0,9.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1
2014-01-09,129.0,1,鶏チリソース,435.0,4,0,10.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,0,0,0
2014-01-10,87.0,0,手作りロースカツ,440.0,1,0,5.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2014-01-14,129.0,1,鶏の照り焼きマスタード,376.0,2,0,5.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
2014-01-15,134.0,0,さんま辛味焼,450.0,4,0,2.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1
2014-01-16,107.0,0,カレイ唐揚げ野菜あんかけ,415.0,1,0,7.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1
2014-01-17,85.0,1,回鍋肉,430.0,1,0,7.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0
2014-01-20,126.0,1,ジューシーメンチカツ,375.0,2,0,6.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0
2014-01-21,129.0,1,サバ焼味噌掛け,447.0,1,0,10.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1
2014-01-22,126.0,1,手作りひれかつとカレー,426.0,1,0,7.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0
2014-01-23,107.0,0,酢豚,400.0,1,0,8.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0
2014-01-24,92.0,1,鶏のレモンペッパー焼orカレー,418.0,1,0,10.1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15,0,1,0,0,0,0,0
2014-01-27,126.0,1,チンジャオロース,415.0,1,0,5.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0
2014-01-28,120.0,0,海老フライタルタル,445.0,1,0,12.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0
2014-01-29,121.0,1,チーズ入りメンチカツ,450.0,1,0,10.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0
2014-01-30,105.0,1,鶏の唐揚げ,448.0,4,0,15.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1
2014-01-31,92.0,1,メダイ照り焼,460.0,1,0,14.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1
2014-02-03,139.0,1,ハンバーグカレーソース,445.0,2,0,15.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,0,0,0,0
2014-02-04,121.0,1,さわら焼味噌掛け,430.0,5,0,3.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1
2014-02-05,126.0,1,鶏のピリ辛焼き,420.0,1,0,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1
2014-02-06,111.0,1,手作りロースカツ,435.0,4,0,4.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0
2014-02-07,91.0,1,ホタテクリ―ムシチュー,425.0,2,0,5.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1
2014-02-10,137.0,0,鶏の唐揚げおろしソース,423.0,4,0,7.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2014-02-12,111.0,0,ますのマスタードソース,415.0,4,0,6.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
2014-02-13,84.0,0,回鍋肉,438.0,4,0,6.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
2014-02-14,86.0,1,ロース甘味噌焼き,432.0,6,0.5,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
2014-02-17,137.0,1,チンジャオロース,416.0,2,0,11.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0
2014-02-18,99.0,0,海老フライとホタテ串カツ,426.0,2,0,6.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1,0,0
2014-02-19,113.0,0,ハンバーグ和風きのこソース,405.0,3,0,7.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0
2014-02-20,85.0,1,タンドリーチキン,426.0,3,0,5.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0
2014-02-21,113.0,0,酢豚orカレー,410.0,1,0,8.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,12,0,1,0,0,0,0,0
2014-02-24,129.0,1,ポークハヤシ,408.0,4,0,6.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1
2014-02-25,104.0,0,マーボ豆腐,396.0,1,0,10.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0
2014-02-26,104.0,0,鶏チリソース,384.0,2,0,11.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0
2014-02-27,90.0,1,白身魚唐揚げ野菜あんかけ,436.0,5,0,8.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1
2014-02-28,69.0,0,手作りひれかつ,428.0,2,0,17.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1
2014-03-03,131.0,0,ハンバーグカレーソース,407.0,4,0,7.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,1,0,0,0,0
2014-03-04,100.0,1,回鍋肉,413.0,2,0,8.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0
2014-03-05,110.0,1,メンチカツ,393.0,5,1.5,6.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0
2014-03-06,77.0,0,チキンクリームシチュー,409.0,1,0,6.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,0
2014-03-07,73.0,1,ボローニャ風カツ,396.0,1,0,7.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0
2014-03-10,123.0,0,海老クリーミ―クノーデル,385.0,4,0,7.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2014-03-11,89.0,0,肉じゃが,397.0,1,0,8.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
2014-03-12,68.0,0,ビーフカレー,370.0,1,0,14.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
2014-03-13,80.0,1,手作りロースカツ,372.0,5,0.5,15.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
2014-03-14,70.0,1,カレイ野菜あんかけ,360.0,4,0,11.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1
2014-03-17,129.0,0,鶏の唐揚げおろしソース,382.0,1,0,14.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1
2014-03-18,90.0,1,チーズ入りハンバーグ,400.0,2,0,18.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0
2014-03-19,72.0,1,越冬キャベツのメンチカツ,392.0,4,0,12.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0
2014-03-20,100.0,1,鶏の親子煮,372.0,5,0.5,7.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,1
2014-03-24,102.0,0,マーボ豆腐,350.0,1,0,17.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0
2014-03-25,77.0,0,手作りひれかつ,407.0,1,0,18.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1
2014-03-26,51.0,0,肉団子クリームシチュー,392.0,4,0,18.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1
2014-03-27,55.0,1,ロース甘味噌焼き,315.0,4,1.5,12.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1
2014-03-28,106.0,0,キーマカレー,400.0,1,0,18.5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0
2014-03-31,84.0,0,青椒肉絲,349.0,2,0,17.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0
2014-04-01,125.0,1,メンチカツ,377.0,3,0,16.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0
2014-04-02,99.0,0,肉じゃが,380.0,3,0,18.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1
2014-04-03,100.0,1,酢豚,390.0,5,1,14.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0
2014-04-04,90.0,1,和風ソースハンバーグ,350.0,2,0,17.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,1,0,0,0,0
2014-04-07,107.0,0,青梗菜牛肉炒め,387.0,1,0,13.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,0
2014-04-08,96.0,1,肉団子のシチュー,353.0,1,0,20.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1
2014-04-09,88.0,1,青椒肉絲,376.0,2,0,19.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,0,0,0
2014-04-10,87.0,0,鶏の唐揚げおろしソース,362.0,2,0,21.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2014-04-11,128.0,1,チキンカレー,410.0,1,0,16.5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0
2014-04-14,92.0,0,ビーフトマト煮,340.0,2,0,16.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
2014-04-15,82.0,0,ポーク生姜焼き,370.0,1,0,19.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1
2014-04-16,57.0,0,カレイ唐揚げ野菜あんかけ,330.0,3,0,21.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1
2014-04-17,57.0,0,牛丼風煮,333.0,1,0,20.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1
2014-04-18,56.0,1,鶏の味噌漬け焼き,325.0,4,0,11.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1
2014-04-21,109.0,0,牛肉筍煮,375.0,4,0,16.4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,1
2014-04-22,78.0,1,マーボ豆腐,382.0,4,0,18.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0
2014-04-23,63.0,0,手作りひれかつ,340.0,1,0,19.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1
2014-04-24,56.0,1,鶏の照り焼きマヨ,360.0,2,0,19.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1
2014-04-25,80.0,0,中華丼,405.0408163265306,2,0,20.8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0
2014-04-28,54.0,0,タンドリーチキン,342.0,2,0,22.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0
2014-04-30,97.0,1,豚味噌メンチカツ,368.0,5,0.5,17.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0
2014-05-01,64.0,0,マーボ茄子,415.0,2,0,24.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0
2014-05-02,47.0,0,鶏の天ぷら,420.0,2,0,23.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1
2014-05-07,88.0,1,肉じゃが,415.0,2,0,18.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1
2014-05-08,59.0,0,メンチカツ,405.0,3,0,21.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0
2014-05-09,58.0,1,手作りチキンカツ,434.0,2,0,23.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
2014-05-12,73.0,0,きのこソースハンバーグ,400.0,3,0,22.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
2014-05-13,70.0,1,白身魚唐揚げ野菜餡かけ,428.0,5,0,18.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0
2014-05-14,64.0,1,メンチカツ,430.0,3,0,26.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0
2014-05-15,58.0,1,タンドリーチキン,403.0,4,0,19.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0
2014-05-16,126.0,0,ポークカレー,410.0,1,0,23.8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8,0,1,0,0,0,0,0
2014-05-19,70.0,1,豚肉と茄子のピリ辛炒め,406.0,4,0,22.8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,1,0,0,0
2014-05-20,71.0,0,鶏の味噌漬け焼き,425.0,3,0,23.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1
2014-05-21,104.0,1,チーズハンバーグ,430.0,5,6,17.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0
2014-05-22,54.0,1,サーモンのムニエル2色ソース,428.0,7,0,19.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,1
2014-05-23,65.0,0,牛肉コロッケ,400.0,3,0,19.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1
2014-05-26,77.0,1,鶏のカッシュナッツ炒め,430.0,3,0,23.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0
2014-05-27,79.0,0,牛肉すき焼き風,423.0,4,0,23.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1
2014-05-28,74.0,1,鶏の唐揚げおろしソース,414.0,2,0,25.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1
2014-05-29,64.0,1,いか天ぷら,438.0,1,0,26.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1
2014-05-30,119.0,0,チキンカレー,410.0,3,0,26.9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,22,0,1,0,0,0,1,0
2014-06-02,74.0,0,ハンバーグケッチャップソース,420.0,3,0,30.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0
2014-06-03,59.0,0,ゴーヤチャンプルー,418.0,3,0,27.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1
2014-06-04,47.0,0,たっぷりベーコンフライ,424.0,2,0,27.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,0,0
2014-06-05,64.0,1,鶏の味噌漬け焼き,405.0,5,0,21.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1
2014-06-06,93.0,0,手作りロースカツ,430.0,5,6.5,19.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0
2014-06-09,74.0,1,牛肉ニンニクの芽炒め,417.0,5,0,25.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,0
2014-06-10,56.0,0,カレイ唐揚げ野菜餡かけ,426.0,4,0,25.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2014-06-11,50.0,1,チャプチェ,413.0,5,2.5,22.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
2014-06-12,72.0,1,タンドリーチキン,440.0,5,0.5,21.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
2014-06-13,121.0,0,キーマカレー,400.0,2,0,29.5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
2014-06-16,76.0,1,牛すき焼き風,440.0,3,0,28.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1
2014-06-17,63.0,0,ポークソテー韓国ソース,427.0,3,0,27.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1
2014-06-18,66.0,1,ビーフストロガノフ,426.0,5,0,21.9,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,1
2014-06-19,56.0,0,アジ唐揚げ南蛮ソース,430.0,2,0,27.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0
2014-06-20,57.0,0,炊き込みご飯,407.0,3,0,26.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1
2014-06-23,72.0,0,マーボ茄子,421.0,4,0,26.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0
2014-06-24,61.0,0,鶏のトマトシチュー,430.0,4,0,23.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1
2014-06-25,64.0,1,豚の冷しゃぶ,420.0,5,0,25.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0
2014-06-26,49.0,0,キスと野菜の天ぷら,414.0,4,0,25.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1
2014-06-27,74.0,0,牛丼,406.0813953488372,5,0,25.4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1
2014-06-30,65.0,0,鶏の塩から揚げ,435.0,3,0,25.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1
2014-07-01,54.0,0,カレイ唐揚げ夏野菜あん,362.0,4,0,28.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0
2014-07-02,50.0,1,タンドリーチキン,363.0,1,0,28.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1,0
2014-07-03,53.0,0,白身魚ムニエル,412.0,3,0,27.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1
2014-07-04,63.0,0,手作りトンカツ,432.0,5,0.5,22.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0
2014-07-07,82.0,1,和風ハンバーグ,354.0,5,0.5,24.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0
2014-07-08,56.0,0,かじきの甘辛煮,370.0,2,0,29.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1
2014-07-09,54.0,1,チキンのコーンクリーム焼き,388.0,5,0,24.6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,1,0
2014-07-10,48.0,0,プルコギ,386.0,4,0,28.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2014-07-11,124.0,0,ポークカレー,410.0,2,0,33.9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
2014-07-14,65.0,1,鶏のから揚げねぎ塩炒めソース,418.0,3,0,30.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0
2014-07-15,51.0,0,豚冷シャブ野菜添え,324.0,2,0,30.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0
2014-07-16,53.0,1,白身魚フライ,434.0,2,0,30.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0
2014-07-17,53.0,1,豚すき焼き,418.0,2,0,30.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1
2014-07-18,55.0,1,エビフライ,401.0,4,0,25.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0
2014-07-22,53.0,0,チンジャオロース,409.0,2,0,30.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0
2014-07-23,56.0,1,八宝菜,355.0,3,0,32.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0
2014-07-24,62.0,1,ジャンボチキンカツ,410.0,4,0,32.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,1,0
